[2026-07-19 12:15:55,010 ] 22 root - INFO-Initate the data ingestion 
[2026-07-19 12:15:58,985 ] 65 root - INFO-Performed train test split on the dataframe
[2026-07-19 12:15:58,985 ] 67 root - INFO-Exited split_data_as_train_test method of Data_Ingestion class 
[2026-07-19 12:15:58,986 ] 72 root - INFO-Exporting train and test file path.
[2026-07-19 12:15:59,035 ] 80 root - INFO-Exported train and test file path .
[2026-07-19 12:15:59,036 ] 24 root - INFO-Data Initiation Completed
[2026-07-19 12:15:59,102 ] 30 root - INFO-initiate teh data Valadation
[2026-07-19 12:15:59,183 ] 36 root - INFO-Required number of columns:2
[2026-07-19 12:15:59,185 ] 37 root - INFO-Data frame has columns :31
[2026-07-19 12:15:59,185 ] 36 root - INFO-Required number of columns:2
[2026-07-19 12:15:59,185 ] 37 root - INFO-Data frame has columns :31
[2026-07-19 12:15:59,185 ] 51 root - INFO-Checking numerical columns ...
[2026-07-19 12:15:59,185 ] 57 root - INFO-All numerical columns are present 
[2026-07-19 12:15:59,186 ] 51 root - INFO-Checking numerical columns ...
[2026-07-19 12:15:59,186 ] 57 root - INFO-All numerical columns are present 
[2026-07-19 12:15:59,328 ] 32 root - INFO-data valadatiion completed
[2026-07-19 12:15:59,328 ] 36 root - INFO-data Transformation started 
[2026-07-19 12:15:59,329 ] 71 root - INFO-Entered initate_data_transformatin method of DataTranformation class
[2026-07-19 12:15:59,329 ] 73 root - INFO-Starting data transformation 
[2026-07-19 12:15:59,353 ] 53 root - INFO-Entered get_data_transformer_pbject method of Transformation class
[2026-07-19 12:15:59,353 ] 58 root - INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-19 12:15:59,409 ] 50 root - INFO-Entered the save_object method of MainUtils class
[2026-07-19 12:15:59,414 ] 54 root - INFO-Exited the save_object method of MainUtils class
[2026-07-19 12:15:59,414 ] 50 root - INFO-Entered the save_object method of MainUtils class
[2026-07-19 12:15:59,418 ] 54 root - INFO-Exited the save_object method of MainUtils class
[2026-07-19 12:15:59,420 ] 41 root - INFO-data transformation created
[2026-07-19 12:15:59,420 ] 45 root - INFO-Model Training Started
